,type,updated_subtype,longitude,latitude,count
0,ACCIDENT,MAJOR,-87.9,41.98,4
1,ACCIDENT,MAJOR,-87.89,41.98,3
2,ACCIDENT,MAJOR,-87.89,41.99,1
3,ACCIDENT,MAJOR,-87.88,41.96,1
4,ACCIDENT,MAJOR,-87.88,41.98,19
5,ACCIDENT,MAJOR,-87.88,41.99,3
6,ACCIDENT,MAJOR,-87.85,41.97,1
7,ACCIDENT,MAJOR,-87.85,41.98,6
8,ACCIDENT,MAJOR,-87.84,41.94,1
9,ACCIDENT,MAJOR,-87.84,41.95,2
10,ACCIDENT,MAJOR,-87.84,41.96,1
11,ACCIDENT,MAJOR,-87.84,41.98,14
12,ACCIDENT,MAJOR,-87.84,41.99,1
13,ACCIDENT,MAJOR,-87.83,41.94,1
14,ACCIDENT,MAJOR,-87.83,41.98,17
15,ACCIDENT,MAJOR,-87.82,41.98,28
16,ACCIDENT,MAJOR,-87.82,42.01,2
17,ACCIDENT,MAJOR,-87.81,41.94,1
18,ACCIDENT,MAJOR,-87.81,41.98,40
19,ACCIDENT,MAJOR,-87.81,42.0,1
20,ACCIDENT,MAJOR,-87.81,42.02,1
21,ACCIDENT,MAJOR,-87.8,41.77,2
22,ACCIDENT,MAJOR,-87.8,41.78,1
23,ACCIDENT,MAJOR,-87.8,41.79,7
24,ACCIDENT,MAJOR,-87.8,41.8,4
25,ACCIDENT,MAJOR,-87.8,41.92,2
26,ACCIDENT,MAJOR,-87.8,41.98,35
27,ACCIDENT,MAJOR,-87.79,41.8,4
28,ACCIDENT,MAJOR,-87.79,41.93,1
29,ACCIDENT,MAJOR,-87.79,41.94,1
30,ACCIDENT,MAJOR,-87.79,41.97,2
31,ACCIDENT,MAJOR,-87.79,41.98,72
32,ACCIDENT,MAJOR,-87.79,41.99,3
33,ACCIDENT,MAJOR,-87.79,42.0,4
34,ACCIDENT,MAJOR,-87.78,41.79,1
35,ACCIDENT,MAJOR,-87.78,41.87,36
36,ACCIDENT,MAJOR,-87.78,41.91,1
37,ACCIDENT,MAJOR,-87.78,41.92,1
38,ACCIDENT,MAJOR,-87.78,41.94,1
39,ACCIDENT,MAJOR,-87.78,41.95,1
40,ACCIDENT,MAJOR,-87.78,41.96,1
41,ACCIDENT,MAJOR,-87.78,41.98,42
42,ACCIDENT,MAJOR,-87.78,41.99,1
43,ACCIDENT,MAJOR,-87.78,42.0,3
44,ACCIDENT,MAJOR,-87.77,41.78,1
45,ACCIDENT,MAJOR,-87.77,41.79,1
