,longitude,latitude,hour,type,updated_subtype,count
0,-87.94,41.99,03:00,HAZARD,Unclassified,2
1,-87.94,41.99,04:00,HAZARD,Unclassified,1
2,-87.94,41.99,05:00,HAZARD,Unclassified,1
3,-87.93,41.96,00:00,HAZARD,ON_ROAD,1
4,-87.93,41.96,00:00,HAZARD,ON_SHOULDER,1
5,-87.93,41.96,01:00,HAZARD,ON_ROAD,1
6,-87.93,41.96,02:00,HAZARD,ON_SHOULDER,2
7,-87.93,41.96,03:00,HAZARD,ON_SHOULDER,1
8,-87.93,41.96,07:00,HAZARD,ON_ROAD,1
9,-87.93,41.96,11:00,HAZARD,ON_ROAD,1
10,-87.93,41.96,13:00,HAZARD,ON_ROAD,1
11,-87.93,41.96,14:00,HAZARD,ON_SHOULDER,1
12,-87.93,41.96,16:00,HAZARD,ON_SHOULDER,1
13,-87.93,41.96,18:00,HAZARD,ON_SHOULDER,1
14,-87.93,41.96,19:00,HAZARD,ON_SHOULDER,1
15,-87.93,41.98,03:00,HAZARD,Unclassified,1
16,-87.93,41.98,07:00,HAZARD,Unclassified,1
17,-87.93,41.98,14:00,HAZARD,Unclassified,4
18,-87.93,41.98,15:00,HAZARD,Unclassified,7
19,-87.93,41.98,16:00,HAZARD,Unclassified,2
20,-87.93,41.98,17:00,HAZARD,Unclassified,6
21,-87.93,41.98,18:00,HAZARD,Unclassified,3
22,-87.93,41.99,06:00,HAZARD,Unclassified,4
23,-87.93,42.0,00:00,HAZARD,ON_ROAD,1
24,-87.93,42.0,03:00,JAM,STAND_STILL_TRAFFIC,1
25,-87.93,42.0,04:00,ACCIDENT,Unclassified,1
26,-87.93,42.0,10:00,HAZARD,WEATHER,2
27,-87.93,42.0,11:00,HAZARD,ON_SHOULDER,1
28,-87.93,42.0,15:00,HAZARD,ON_SHOULDER,1
29,-87.93,42.0,19:00,HAZARD,ON_ROAD,1
30,-87.93,42.0,19:00,JAM,Unclassified,1
31,-87.93,42.0,22:00,HAZARD,ON_ROAD,2
32,-87.92,41.96,01:00,HAZARD,ON_ROAD,2
33,-87.92,41.96,02:00,HAZARD,ON_ROAD,1
34,-87.92,41.96,03:00,HAZARD,ON_ROAD,2
35,-87.92,41.96,03:00,HAZARD,Unclassified,3
36,-87.92,41.96,04:00,HAZARD,Unclassified,1
37,-87.92,41.96,05:00,HAZARD,ON_ROAD,1
38,-87.92,41.96,10:00,JAM,Unclassified,1
39,-87.92,41.96,11:00,HAZARD,ON_ROAD,1
40,-87.92,41.96,12:00,HAZARD,ON_ROAD,4
41,-87.92,41.96,14:00,HAZARD,ON_ROAD,1
42,-87.92,41.96,15:00,HAZARD,ON_ROAD,1
43,-87.92,41.96,18:00,HAZARD,ON_ROAD,1
44,-87.92,41.96,18:00,HAZARD,ON_SHOULDER,1
45,-87.92,41.96,19:00,HAZARD,ON_ROAD,1
46,-87.92,41.96,19:00,HAZARD,ON_SHOULDER,1
47,-87.92,41.96,20:00,HAZARD,ON_ROAD,1
48,-87.92,41.96,20:00,JAM,Unclassified,1
49,-87.92,41.96,23:00,HAZARD,WEATHER,1
50,-87.92,41.99,00:00,HAZARD,ON_ROAD,1
51,-87.92,41.99,11:00,HAZARD,ON_ROAD,1
52,-87.91,41.95,20:00,HAZARD,ON_ROAD,1
53,-87.91,41.96,00:00,HAZARD,ON_ROAD,1
54,-87.91,41.96,04:00,HAZARD,ON_ROAD,1
55,-87.91,41.96,07:00,HAZARD,Unclassified,2
56,-87.91,41.96,08:00,HAZARD,Unclassified,1
57,-87.91,41.96,18:00,ACCIDENT,Unclassified,1
58,-87.91,41.96,18:00,HAZARD,WEATHER,1
59,-87.91,41.96,23:00,HAZARD,ON_ROAD,5
60,-87.91,41.98,00:00,HAZARD,ON_ROAD,6
61,-87.91,41.98,00:00,HAZARD,ON_SHOULDER,1
62,-87.91,41.98,00:00,JAM,HEAVY_TRAFFIC,4
63,-87.91,41.98,00:00,JAM,STAND_STILL_TRAFFIC,15
64,-87.91,41.98,00:00,JAM,Unclassified,2
65,-87.91,41.98,01:00,JAM,HEAVY_TRAFFIC,1
66,-87.91,41.98,01:00,JAM,STAND_STILL_TRAFFIC,5
67,-87.91,41.98,01:00,JAM,Unclassified,1
68,-87.91,41.98,02:00,HAZARD,ON_ROAD,1
69,-87.91,41.98,02:00,JAM,STAND_STILL_TRAFFIC,2
70,-87.91,41.98,03:00,HAZARD,ON_SHOULDER,1
71,-87.91,41.98,04:00,HAZARD,ON_ROAD,2
72,-87.91,41.98,04:00,HAZARD,Unclassified,2
73,-87.91,41.98,05:00,HAZARD,ON_ROAD,2
74,-87.91,41.98,05:00,HAZARD,Unclassified,6
75,-87.91,41.98,06:00,HAZARD,ON_ROAD,8
76,-87.91,41.98,06:00,HAZARD,Unclassified,3
77,-87.91,41.98,06:00,JAM,Unclassified,1
78,-87.91,41.98,07:00,HAZARD,ON_ROAD,1
79,-87.91,41.98,07:00,HAZARD,Unclassified,3
80,-87.91,41.98,08:00,HAZARD,ON_ROAD,1
81,-87.91,41.98,08:00,HAZARD,Unclassified,1
82,-87.91,41.98,08:00,JAM,Unclassified,1
83,-87.91,41.98,09:00,HAZARD,ON_ROAD,2
84,-87.91,41.98,09:00,HAZARD,WEATHER,1
85,-87.91,41.98,10:00,HAZARD,ON_ROAD,13
86,-87.91,41.98,10:00,JAM,HEAVY_TRAFFIC,2
87,-87.91,41.98,11:00,HAZARD,ON_ROAD,2
88,-87.91,41.98,11:00,JAM,HEAVY_TRAFFIC,1
89,-87.91,41.98,11:00,JAM,STAND_STILL_TRAFFIC,2
90,-87.91,41.98,11:00,JAM,Unclassified,2
91,-87.91,41.98,12:00,HAZARD,ON_ROAD,1
92,-87.91,41.98,12:00,JAM,HEAVY_TRAFFIC,1
93,-87.91,41.98,12:00,JAM,STAND_STILL_TRAFFIC,1
94,-87.91,41.98,13:00,HAZARD,ON_ROAD,5
95,-87.91,41.98,13:00,HAZARD,ON_SHOULDER,1
96,-87.91,41.98,13:00,JAM,HEAVY_TRAFFIC,1
97,-87.91,41.98,13:00,JAM,STAND_STILL_TRAFFIC,1
98,-87.91,41.98,13:00,JAM,Unclassified,1
99,-87.91,41.98,14:00,HAZARD,ON_ROAD,2
100,-87.91,41.98,14:00,HAZARD,ON_SHOULDER,2
101,-87.91,41.98,14:00,HAZARD,WEATHER,1
102,-87.91,41.98,14:00,JAM,STAND_STILL_TRAFFIC,1
103,-87.91,41.98,15:00,HAZARD,ON_ROAD,3
104,-87.91,41.98,15:00,JAM,Unclassified,2
105,-87.91,41.98,16:00,HAZARD,ON_ROAD,5
106,-87.91,41.98,16:00,JAM,HEAVY_TRAFFIC,1
107,-87.91,41.98,16:00,JAM,STAND_STILL_TRAFFIC,2
108,-87.91,41.98,17:00,HAZARD,ON_ROAD,5
109,-87.91,41.98,17:00,HAZARD,ON_SHOULDER,2
110,-87.91,41.98,17:00,JAM,Unclassified,5
111,-87.91,41.98,18:00,HAZARD,ON_ROAD,5
112,-87.91,41.98,18:00,HAZARD,ON_SHOULDER,1
113,-87.91,41.98,18:00,JAM,Unclassified,5
114,-87.91,41.98,19:00,HAZARD,ON_ROAD,4
115,-87.91,41.98,19:00,JAM,STAND_STILL_TRAFFIC,1
116,-87.91,41.98,19:00,JAM,Unclassified,2
117,-87.91,41.98,20:00,HAZARD,ON_ROAD,4
118,-87.91,41.98,20:00,HAZARD,ON_SHOULDER,1
119,-87.91,41.98,20:00,JAM,STAND_STILL_TRAFFIC,1
120,-87.91,41.98,20:00,JAM,Unclassified,1
121,-87.91,41.98,21:00,HAZARD,ON_ROAD,3
122,-87.91,41.98,21:00,JAM,STAND_STILL_TRAFFIC,2
123,-87.91,41.98,22:00,ACCIDENT,Unclassified,1
124,-87.91,41.98,22:00,HAZARD,ON_ROAD,6
125,-87.91,41.98,22:00,HAZARD,ON_SHOULDER,1
126,-87.91,41.98,22:00,JAM,STAND_STILL_TRAFFIC,7
127,-87.91,41.98,22:00,JAM,Unclassified,1
128,-87.91,41.98,23:00,HAZARD,ON_ROAD,4
129,-87.91,41.98,23:00,HAZARD,ON_SHOULDER,1
130,-87.91,41.98,23:00,HAZARD,WEATHER,1
131,-87.91,41.98,23:00,JAM,STAND_STILL_TRAFFIC,3
132,-87.91,41.98,23:00,JAM,Unclassified,2
133,-87.91,41.99,08:00,HAZARD,Unclassified,1
134,-87.91,41.99,10:00,HAZARD,WEATHER,1
135,-87.91,41.99,12:00,HAZARD,Unclassified,2
136,-87.91,42.0,10:00,HAZARD,ON_ROAD,1
137,-87.91,42.0,11:00,HAZARD,ON_SHOULDER,1
138,-87.9,41.94,00:00,HAZARD,ON_ROAD,4
139,-87.9,41.94,07:00,HAZARD,ON_ROAD,4
140,-87.9,41.94,11:00,HAZARD,WEATHER,1
141,-87.9,41.94,13:00,HAZARD,ON_ROAD,1
142,-87.9,41.94,15:00,HAZARD,ON_ROAD,1
143,-87.9,41.94,16:00,HAZARD,Unclassified,1
144,-87.9,41.94,17:00,HAZARD,ON_SHOULDER,1
145,-87.9,41.94,19:00,HAZARD,Unclassified,1
146,-87.9,41.94,20:00,ACCIDENT,Unclassified,1
147,-87.9,41.94,20:00,HAZARD,ON_ROAD,5
148,-87.9,41.94,21:00,HAZARD,ON_SHOULDER,2
